Faction,Player Primary,Player Tactical,Player Fixed,Opponent Primary,Opponent Tactical,Opponent Fixed,Primary Scoring Differential,Tactical Scoring Differential,Fixed Scoring Differential,VP,Opp VP,Win Percentage
Adepta Sororitas,28.24,24.19,24.51,29.0,24.18,24.34,-0.76,0.01,0.17,64.02,61.04,48.92
Adeptus Custodes,30.21,23.56,26.62,29.22,23.74,21.94,0.99,-0.18,4.68,65.93,63.0,50.85
Adeptus Mechanicus,29.43,24.59,22.65,29.54,24.5,23.93,-0.11,0.09,-1.28,65.47,62.95,46.71
Aeldari,27.32,25.21,26.28,29.58,24.56,23.48,-2.26,0.65,2.8,61.42,65.28,46.5
Astra Militarum,27.6,23.76,20.9,30.4,24.41,23.4,-2.8,-0.65,-2.5,58.59,66.32,44.33
Black Templars,27.77,21.77,20.65,29.09,22.84,21.56,-1.32,-1.07,-0.91,59.26,61.7,45.44
Blood Angels,29.22,24.5,24.95,28.78,24.04,20.39,0.44,0.46,4.56,62.31,68.77,48.68
Chaos Daemons,31.45,24.46,24.09,29.46,24.03,28.84,1.99,0.43,-4.75,67.06,64.28,51.85
Chaos Knights,33.31,24.03,26.82,25.81,22.72,29.64,7.5,1.31,-2.82,65.03,62.34,59.05
Chaos Space Marines,27.62,22.95,25.53,29.71,24.28,21.64,-2.09,-1.33,3.89,62.08,65.9,46.28
Dark Angels,29.47,23.35,23.29,30.11,23.17,21.07,-0.64,0.18,2.22,65.27,64.41,47.85
Death Guard,31.71,25.3,28.0,28.4,23.3,19.96,3.31,2.0,8.04,69.86,66.27,58.37
Deathwatch,27.28,22.33,24.92,31.26,23.56,11.0,-3.98,-1.23,13.92,60.22,60.15,43.83
Drukhari,29.46,26.95,25.76,29.4,25.19,20.86,0.06,1.76,4.9,69.51,61.74,52.89
Emperor's Children,28.4,23.05,21.48,28.74,24.27,26.36,-0.34,-1.22,-4.88,57.35,61.8,46.8
Genestealer Cults,29.99,26.29,26.78,29.12,25.42,26.5,0.87,0.87,0.28,66.98,64.34,51.73
Grey Knights,27.35,22.71,29.9,30.97,24.25,21.18,-3.62,-1.54,8.72,63.79,63.83,42.74
Imperial Agents,25.72,22.35,21.14,32.13,27.08,32.0,-6.41,-4.73,-10.86,53.28,70.97,32.69
Imperial Knights,33.11,25.25,26.23,26.9,22.57,27.11,6.21,2.68,-0.88,63.83,60.1,60.4
Leagues Of Votann,29.32,24.68,30.04,29.36,24.38,22.0,-0.04,0.3,8.04,67.48,62.7,50.2
Necrons,29.57,23.56,24.47,30.73,23.59,21.01,-1.16,-0.03,3.46,62.26,70.19,48.54
Orks,28.46,22.31,22.46,28.63,24.42,24.82,-0.17,-2.11,-2.36,60.56,65.21,42.93
Space Marines,27.04,22.77,23.05,30.39,23.7,18.79,-3.35,-0.93,4.26,59.6,62.15,43.26
Space Wolves,27.8,23.05,24.42,28.7,23.25,16.03,-0.9,-0.2,8.39,60.43,65.64,46.12
T'au,26.84,24.45,25.72,30.65,25.28,26.93,-3.81,-0.83,-1.21,66.15,64.98,42.36
Thousand Sons,28.82,24.26,25.9,29.04,23.93,22.07,-0.22,0.33,3.83,62.99,60.6,49.93
Tyranids,29.63,23.9,25.5,29.32,23.91,21.34,0.31,-0.01,4.16,61.44,64.72,48.0
World Eaters,29.97,23.32,24.55,28.71,23.67,22.52,1.26,-0.35,2.03,63.81,65.54,50.61
